特征,卡方统计量,p值,互信息,Lasso系数,与目标相关系数,与目标相关系数绝对值,卡方排名,互信息排名,目标相关排名,Lasso保留,平均排名,推荐等级,字段说明
Triad_Score,253.50580357142857,4.4685201271373774e-57,0.3210645091145028,0.43154447630230836,0.7016985546106893,0.7016985546106893,3.0,1.0,1.0,True,1.6666666666666667,强推荐,典型三多症状评分，多尿+烦渴+多食，取值 0-3
Age_polyuria_interaction,5359.87990324067,0.0,0.31494120794205105,0.0,0.6037135197468683,0.6037135197468683,1.0,2.0,4.0,False,2.3333333333333335,推荐,年龄与多尿交互项，用于表达年龄增长叠加典型症状风险
Polyuria,116.18459302325581,4.330531647259435e-27,0.2629401682609753,0.8380456144540921,0.6659224017308103,0.6659224017308103,6.0,3.0,2.0,True,3.6666666666666665,强推荐,多尿症状编码，Yes=1，No=0
Polydipsia,120.78551502145923,4.257623599480353e-28,0.24940679536593335,0.9112128489199333,0.6487337304599187,0.6487337304599187,5.0,4.0,3.0,True,4.0,强推荐,烦渴症状编码，Yes=1，No=0
Total_Symptoms,253.7304857044437,3.9919374603505765e-57,0.21903522699094435,0.0,0.520900100467665,0.520900100467665,2.0,5.0,5.0,False,4.0,推荐,14 个症状的总数，取值 0-14
sudden weight loss,57.74930875576037,2.977446679575547e-14,0.10350738998059117,0.1442579230585582,0.4365681826150595,0.4365681826150595,7.0,8.0,7.0,True,7.333333333333333,强推荐,突然体重下降编码，Yes=1，No=0
partial paresis,55.3142857142857,1.0271933734872991e-13,0.11377286208366888,0.17413408351710755,0.4322876205405217,0.4322876205405217,8.0,7.0,8.0,True,7.666666666666667,强推荐,局部麻痹编码，Yes=1，No=0
Gender,38.74763719512195,4.822936842298368e-10,0.09558250384620703,-0.9975862759706486,-0.4492333585023042,0.4492333585023042,9.0,9.0,6.0,True,8.0,强推荐,性别编码，Male=1，Female=0
Irritability,35.33412698412698,2.7772277163505632e-09,0.05073188645449633,0.3947084792242473,0.29946706887473246,0.29946706887473246,10.0,12.0,10.0,True,10.666666666666666,推荐,易怒编码，Yes=1，No=0
Polyphagia,33.19841772151898,8.321822038533424e-09,0.03591693944194718,0.0,0.3425038635438582,0.3425038635438582,11.0,16.0,9.0,False,12.0,推荐,多食症状编码，Yes=1，No=0
Age_obesity_interaction,125.81761351173498,3.370823126020111e-29,0.06318754541752036,0.0,0.0733540171809201,0.0733540171809201,4.0,11.0,22.0,False,12.333333333333334,推荐,年龄与肥胖交互项，用于表达年龄增长叠加肥胖风险
Metabolic_Score,27.24973988439306,1.7879918224596144e-07,0.04651914829764081,0.0,0.2577874087341934,0.2577874087341934,12.0,13.0,12.0,False,12.333333333333334,推荐,代谢相关症状评分，肥胖+乏力+视力模糊+愈合延迟，取值 0-4
Age,18.845766766766737,1.4172528567214084e-05,0.14034735194277026,0.0,0.1086789985446608,0.1086789985446608,14.0,6.0,19.0,False,13.0,推荐,年龄，原始数值特征
Alopecia,24.40279329608938,7.81552909204686e-07,0.02851058571108922,0.0,-0.2675115767280858,0.2675115767280858,13.0,18.0,11.0,False,14.0,推荐,脱发编码，Yes=1，No=0
visual blurring,18.12457081545065,2.0691414902902463e-05,0.04445403635638989,0.0,0.25130024808579327,0.25130024808579327,15.0,14.0,13.0,False,14.0,推荐,视力模糊编码，Yes=1，No=0
weakness,12.724262295081967,0.00036094220403750044,0.04274809309549443,0.0,0.2432747733036915,0.2432747733036915,17.0,15.0,14.0,False,15.333333333333334,剔除候选,乏力编码，Yes=1，No=0
Neural_Score,9.672282608695653,0.0018706874962027829,0.035047898802195165,0.0,0.17102131686732677,0.17102131686732677,18.0,17.0,16.0,False,17.0,剔除候选,神经相关症状评分，局部麻痹+肌肉僵硬+脱发，取值 0-3
Age_30-40,2.370731707317075,0.12362909241037305,0.06473266191271554,0.03578540508178343,0.07727623432354128,0.07727623432354128,22.0,10.0,20.0,True,17.333333333333332,备选,年龄 30-40 岁分组
Age_<30,15.124999999999996,0.00010062192211963705,0.0,0.0,-0.17844356324383864,0.17844356324383864,16.0,22.0,15.0,False,17.666666666666668,剔除候选,年龄小于 30 岁分组
